cik,sub_name,parent_name,first_seen,first_filing,time_out,batch_size,cross_cik,label,match_jaccard,wikidata_company,wikidata_acquirer
0000046080,tiger electronics ltd,hasbro inc,2000-03-24,2000-03-24,Between 2000-03-24 and 2001-04-02,50,0,1,1.0,Tiger Electronics,Hasbro
0001001039,pixar,walt disney co,2006-11-22,1995-12-28,Between 2006-11-22 and 2007-11-21,1,1,1,1.0,Pixar,The Walt Disney Company
0001571996,dell,dell technologies inc,2016-04-11,2016-04-11,Between 2016-04-11 and 2017-03-31,327,1,1,1.0,Dell,Dell Technologies
0000079879,ppg coatings danmark as,ppg industries inc,2009-02-19,1994-02-17,Between 2009-02-19 and 2010-02-18,60,0,1,0.75,PPG Coatings Danmark,PPG Industries
0000104889,kaplan international inc,graham holdings co,2003-03-17,1994-03-29,Between 2003-03-17 and 2004-03-10,6,0,1,0.6667,Kaplan International Languages,Graham Holdings Company
0001618756,tim hortons (ireland) limited,restaurant brands international inc,2015-03-02,2015-03-02,Between 2015-03-02 and 2016-02-26,9,1,1,0.6667,Tim Hortons,Restaurant Brands International
0000732717,warnermedia llc,at&t inc,2020-02-20,1994-03-18,Between 2020-02-20 and 2021-02-25,2,1,1,1.0,WarnerMedia,AT&T
0000813828,viva connect gmbh,viacom inc,2005-03-16,1994-03-31,Between 2005-03-16 and 2005-11-23,104,1,1,0.5,VIVA,Viacom
0001364742,blackrock co ltd,blackrock inc,2007-03-13,2007-03-13,Between 2007-03-13 and 2008-02-28,91,0,1,1.0,BlackRock,BlackRock
0000320187,converse inc,nike inc,2009-07-27,1995-08-30,Between 2009-07-27 and 2010-07-20,137,1,1,1.0,Converse,Nike
0000070858,merrill lynch & co inc,bank of america corp de,2009-02-27,1994-03-30,Between 2009-02-27 and 2010-02-26,1204,1,1,0.5,Merrill,Bank of America
0001136893,sungard llc,fidelity national information services inc,2016-02-26,2001-05-18,Between 2016-02-26 and 2017-02-23,165,0,1,1.0,SunGard,Fidelity National Information Services
0001437107,turner entertainment co,warner bros discovery inc,2023-02-24,2008-08-01,Between 2023-02-24 and 2024-02-23,863,1,1,1.0,Turner Entertainment,Warner Bros. Discovery
0000880266,valtra canada inc,agco corp de,2004-03-15,1997-03-28,Between 2004-03-15 and 2005-03-16,31,0,1,0.5,Valtra,AGCO
0001045810,ageia technologies llc,nvidia corp,2009-03-13,2002-05-14,Between 2009-03-13 and 2010-03-18,5,0,1,0.5,Ageia,Nvidia
0000097476,national semiconductor (pte) limited,texas instruments inc,2012-02-24,1994-03-21,Between 2012-02-24 and 2013-02-22,50,0,1,1.0,National Semiconductor,Texas Instruments
0000050863,altera corporation,intel corp,2017-02-17,1994-03-25,Between 2017-02-17 and 2018-02-16,7,0,1,1.0,Altera,Intel
0001651717,company iglo,nomad foods ltd,2015-09-08,2015-09-08,Between 2015-09-08 and 2015-11-24,24,0,1,1.0,Iglo,Nomad Foods
0001001039,miramax film corp,walt disney co,1996-12-19,1995-12-28,Between 1996-12-19 and 1997-12-19,3,0,1,0.5,Miramax,The Walt Disney Company
0000880266,agco corporation,agco corp de,1997-03-28,1997-03-28,Between 1997-03-28 and 1998-03-31,49,0,1,1.0,AGCO GmbH,AGCO
0000835403,east african breweries limited,diageo plc,2010-03-31,2010-03-31,Active as of 2010-03-31,478,1,1,1.0,East African Breweries,Diageo
