company,acquirer,date
Gazprom,Rosneftegaz,
Carlsberg Group,BlackRock,
Carlsberg Group,MFS Investment Management,
Reliance Infrastructure,Reliance Anil Dhirubhai Ambani Group,
Atomic Skis,Amer Sports,
Baldwin Piano Company,Gibson Brands,2001-11-01
Tiger Electronics,Hasbro,
Fitness First,Oaktree Capital Management,
Paulaner Brewery,Heineken International,
Paulaner Brewery,Schörghuber Unternehmensgruppe,
Pixar,The Walt Disney Company,1986-01-01
Pixar,The Walt Disney Company,2006-05-05
AMD,BlackRock,
AMD,The Vanguard Group,
World Championship Wrestling,WWE,
Reuters,Thomson Reuters,
Scripps-Booth,General Motors,
CCM,Reebok,
NOS,Sonae,
Hochtief,Grupo ACS,
Primark,Associated British Foods,
Sumitomo Chemical,Sumitomo Life Insurance Company,
Sumitomo Chemical,The Master Trust Bank of Japan,
Baume et Mercier,Richemont,
RWE,Ruhrbahn,
Zagat,Google,2021-09-09
Zagat,JPMorgan Chase,2021-09-09
Zagat,Google,2011-09-08
Zagat,JPMorgan Chase,2011-09-08
Zagat,Google,2018-03-05
Zagat,JPMorgan Chase,2018-03-05
Montblanc International GmbH,Richemont,
Starpath,Epyx,
Krka,Slovenian Sovereign Holding,
TIM Group,Poste Italiane,
Zakłady Chemiczne Police,Grupa Azoty S.A.,
Zambian Breweries,SABMiller,
Electrolux Italy,Electrolux,1984-01-01
Midway Games,Bally Manufacturing,
Penta Investments Limited,Penta Investments Group Limited,
Lidl,SB Lidl,
Lidl,PVG Geschäftsführungs-KG,
Grolsch,Asahi Breweries,
Škoda Auto,Volkswagen Finance Luxemburg,2000-01-01
Škoda Auto,Volkswagen Finance Luxemburg,2014-01-01
Škoda Auto,Volkswagen Finance Luxemburg,1925-01-01
Q30113,Stellantis North America,
Kamaz,Daimler Truck,2019-01-01
Kamaz,Rostec,2019-01-01
Kamaz,Avtoinvest,2019-01-01
Kamaz,Daimler Truck,2018-01-01
Kamaz,Rostec,2018-01-01
Kamaz,Avtoinvest,2018-01-01
Dell,Dell Technologies,
Virgin Atlantic,Virgin Group,
American Airlines,American Airlines Group,
WWE,WME Group,
Kia,National Pension Service,
AT&T,BlackRock,
AT&T,The Vanguard Group,
Lamborghini,Volkswagen Group,
Lancia,Stellantis Europe,2007-01-01
Maserati,Stellantis,2021-01-01
Maserati,Stellantis,1993-01-01
Maserati,Stellantis,1997-01-01
Maserati,Stellantis,2005-01-01
Maserati,Stellantis,2014-01-01
Mercedes-Benz,Mercedes-Benz Group,
IBM,Berkshire Hathaway,
IBM,The Vanguard Group,
IBM,State Street Corporation,
McDonald's,BlackRock,
McDonald's,The Vanguard Group,
McDonald's,State Street Corporation,
European Pressphoto Agency,Austria Press Agency,
Imperial Oil,ExxonMobil,
ABB Oy,ASEA,1988-01-01
ABB Oy,ABB Group,1988-01-01
OpenTable,Booking Holdings,
Tatra,NIKA Development,2013-01-01
Tatra,Promet Tools,2013-01-01
Tatra,NIKA Development,2017-01-01
Tatra,Promet Tools,2017-01-01
FLSmidth,Altor Equity Partners,
Wührer,SABMiller,
Zbrojovka Brno,Gomanold,2009-05-01
Valspar,Sherwin-Williams,
Toshiba,Mitsui Group,
Bubba Gump Shrimp Company,"Landry's, Inc.",
PPG Coatings Danmark,PPG Industries,
Dulux,AkzoNobel,
AutoNavi Holdings Limited,Alibaba Group,2014-04-11
Ericsson,Investor,
ASEA,Investor,
ABB Group,BlackRock,
ABB Group,Investor,
ABB Group,Cevian Capital,
Sharp Corporation,Meiji Yasuda Life,
Sharp Corporation,Foxconn Group,
Sharp Corporation,Foxconn (Far East),
U.S. Steel,BlackRock,
U.S. Steel,The Vanguard Group,
U.S. Steel,Dimensional Fund Advisors,
U.S. Steel,Renaissance Technologies,
Extreme Championship Wrestling,WWE,1996-01-01
Extreme Championship Wrestling,WWE,2003-01-01
